player;nba_draft;listed_height;listed_weight;nationality;college;high_school;playing_career;position;draft_year;draft_round;draft_pick
Danny Ainge;1981 / Round: 2 / Pick: 31st overall;6 ft 5 in (1.96 m);195 lb (88 kg);American;BYU (1977–1981);North Eugene (Eugene, Oregon);1981–1995;Shooting guard;1981 ; Round: 2 ; Pick: 31st overall
Danny Granger;2005 / Round: 1 / Pick: 17th overall;6 ft 9 in (2.06 m);222 lb (101 kg);American;Bradley (2001–2003) New Mexico (2003–2005);Grace King (Metairie, Louisiana);2005–present;Small forward;2005 ; Round: 1 ; Pick: 17th overall
Danny Manning;1988 / Round: 1 / Pick: 1st overall;6 ft 10 in (2.08 m);230 lb (104 kg);American;Kansas (1984–1988);Page (Greensboro, North Carolina) Lawrence (Lawrence, Kansas);1988–2003;Power forward;1988 ; Round: 1 ; Pick: 1st overall
Darrall Imhoff;1960 / Round: 1 / Pick: 3rd overall;6 ft 10 in (2.08 m);220 lb (100 kg);American;California (1957–1960);Alhambra (Alhambra, California);1960–1972;Center;1960 ; Round: 1 ; Pick: 3rd overall
Dave Bing;1966 / Round: 1 / Pick: 2nd overall;6 ft 3 in (1.91 m);180 lb (82 kg);American;Syracuse (1963–1966);Spingarn (Washington, D.C.);1966–1978;Guard;1966 ; Round: 1 ; Pick: 2nd overall
Dave Cowens;1970 / Round: 1 / Pick: 4th overall;6 ft 9 in (2.06 m);230 lb (104 kg);American;Florida State (1967–1970);Newport Catholic (Newport, Kentucky);1970–1983;Center / Power forward;1970 ; Round: 1 ; Pick: 4th overall
Dave DeBusschere;1962 / Pick: Territorial;6 ft 6 in (1.98 m);220 lb (100 kg);American;Detroit (1959–1962);Austin Catholic Preparatory School (Detroit, Michigan);1962–1974;Forward;1962 ; Pick: Territorial;
David Lee;2005 / Round: 1 / Pick: 30th overall;6 ft 9 in (2.06 m);245 lb (111 kg);American;Florida (2001–2005);Chaminade (Creve Coeur, Missouri);2005–present;Power forward / Center;2005 ; Round: 1 ; Pick: 30th overall
David Robinson;1987 / Round: 1 / Pick: 1st overall;7 ft 1 in (2.16 m);235 lb (107 kg);American;Navy (1983–1987);Osbourn Park (Manassas, Virginia);1989–2003;Center;1987 ; Round: 1 ; Pick: 1st overall
David Thompson;1975 / Round: 1 / Pick: 1st overall;6 ft 4 in (1.93 m);195 lb (88 kg);American;NC State (1972–1975);Crest (Shelby, North Carolina);1975–1984;Small forward / Shooting guard;1975 ; Round: 1 ; Pick: 1st overall
David West;2003 / Round: 1 / Pick: 18th overall;6 ft 9 in (2.06 m);250 lb (113 kg);American;Xavier (1999–2003);Garner Magnet (Garner, North Carolina) Hargrave Military Academy (Chatham, Virginia);2003–present;Power forward;2003 ; Round: 1 ; Pick: 18th overall
DeMar DeRozan;2009 / Round: 1 / Pick: 9th overall;6 ft 7 in (2.01 m);220 lb (100 kg);American;USC (2008–2009);Compton (Compton, California);2009–present;Shooting guard;2009 ; Round: 1 ; Pick: 9th overall
DeMarcus Cousins;2010 / Round: 1 / Pick: 5th overall;6 ft 11 in (2.11 m);270 lb (122 kg);American;Kentucky (2009–2010);LeFlore (Mobile, Alabama);2010–present;Center / Power forward;2010 ; Round: 1 ; Pick: 5th overall
Dennis Johnson;1976 / Round: 2 / Pick: 29th overall;6 ft 4 in (1.93 m);182 lb (83 kg);American;LA Harbor College (1973–1975) Pepperdine (1975–1976);Dominguez (Compton, California);1976–1990;Guard;1976 ; Round: 2 ; Pick: 29th overall
Dennis Rodman;1986 / Round: 2 / Pick: 27th overall;6 ft 7 in (2.01 m)[a];220 lb (100 kg)[1];American;North Central Texas (1983) Southeastern Oklahoma State (1983–1986);South Oak Cliff (Dallas, Texas);1986–2006;Power forward;1986 ; Round: 2 ; Pick: 27th overall
Deron Williams;2005 / Round: 1 / Pick: 3rd overall;6 ft 3 in (1.91 m);200 lb (91 kg);American;Illinois (2002–2005);The Colony (The Colony, Texas);2005–present;Point guard;2005 ; Round: 1 ; Pick: 3rd overall
Derrick Coleman;1990 / Round: 1 / Pick: 1st overall;6 ft 10 in (2.08 m);230 lb (104 kg);American;Syracuse (1986–1990);Northern (Detroit, Michigan);1990–2005;Power forward / Center;1990 ; Round: 1 ; Pick: 1st overall
Derrick Rose;2008 / Round: 1 / Pick: 1st overall;6 ft 3 in (1.91 m);190 lb (86 kg);American;Memphis (2007–2008);Simeon Career Academy (Chicago, Illinois);2008–present;Point guard;2008 ; Round: 1 ; Pick: 1st overall
Detlef Schrempf;1985 / Round: 1 / Pick: 8th overall;6 ft 10 in (2.08 m);235 lb (107 kg);German;Washington (1981–1985);Centralia (Centralia, Washington);1985–2001;Small forward / Power forward;1985 ; Round: 1 ; Pick: 8th overall
Devin Harris;2004 / Round: 1 / Pick: 5th overall;6 ft 3 in (1.91 m);185 lb (84 kg);American;Wisconsin (2001–2004);Wauwatosa East (Wauwatosa, Wisconsin);2004–present;Point guard / Shooting guard;2004 ; Round: 1 ; Pick: 5th overall
Dick Barnett;1959 / Round: 1 / Pick: 4th overall;6 ft 4 in (1.93 m);190 lb (86 kg);American;Tennessee State (1955–1959);Theodore Roosevelt (Gary, Indiana);1959–1973;Guard / Forward;1959 ; Round: 1 ; Pick: 4th overall
Dick Garmaker;1955 / Pick: Territorial;6 ft 3 in (1.91 m);200 lb (91 kg);American;Hibbing CC (1950–1952) Minnesota (1953–1955);Hibbing (Hibbing, Minnesota);1955–1961;Shooting guard / Small forward;1955 ; Pick: Territorial;
Dick McGuire;1949 / Round: 1 / Pick: 7th overall;6 ft 0 in (1.83 m);180 lb (82 kg);American;St. John's (1943–1944, 1946–1949) Dartmouth (1944);La Salle Academy (New York City, New York);1949–1960;Guard;1949 ; Round: 1 ; Pick: 7th overall
Dick Van Arsdale;1965 / Round: 2 / Pick: 10th overall;6 ft 5 in (1.96 m);210 lb (95 kg);American;Indiana (1962–1965);Emmerich Manual (Indianapolis, Indiana);1965–1977;Guard / Small forward;1965 ; Round: 2 ; Pick: 10th overall
Dike Eddleman;1949 / Round: 3 / Pick: 24 [1];6 ft 3 in (1.91 m);189 lb (86 kg);American;Illinois (1945–1949);Centralia (Centralia, Illinois);1949–1953;Small forward;1949 ; Round: 3 ; Pick: 24 [1]
Dikembe Mutombo;1991 / Round: 1 / Pick: 4th overall;7 ft 2 in (2.18 m);260 lb (118 kg);Congolese / American;Georgetown (1988–1991);;1991–2009;Center;1991 ; Round: 1 ; Pick: 4th overall
Dirk Nowitzki;1998 / Round: 1 / Pick: 9th overall;7 ft 0 in (2.13 m);245 lb (111 kg);German;;;1994–present;Power forward;1998 ; Round: 1 ; Pick: 9th overall
Doc Rivers;1983 / Round: 2 / Pick: 31st overall;6 ft 4 in (1.93 m);185 lb (84 kg);American;Marquette (1980–1983);Proviso East (Maywood, Illinois);1983–1996;Point guard;1983 ; Round: 2 ; Pick: 31st overall
Dolph Schayes;1948 / Round: 1 / Pick: 4th overall;6 ft 7 in (2.01 m);195 lb (88 kg);American;NYU (1944–1948);DeWitt Clinton (Bronx, New York);1948–1964;Power forward / Center;1948 ; Round: 1 ; Pick: 4th overall
Dominique Wilkins;1982 / Round: 1 / Pick: 3rd overall;6 ft 8 in (2.03 m);224 lb (102 kg);American;Georgia (1979–1982);Washington (Washington, North Carolina);1982–1999;Small forward;1982 ; Round: 1 ; Pick: 3rd overall
Don Barksdale;;6 ft 6 in (1.98 m);200 lb (91 kg);American;UCLA (1946–1947);Berkeley (Berkeley, California);1948–1955;Forward / Center;;;
Don Buse;1972 / Round: 3 / Pick: 34th overall;6 ft 4 in (1.93 m);190 lb (86 kg);American;Evansville (1969–1972);Holland (Holland, Indiana);1972–1985;Point guard;1972 ; Round: 3 ; Pick: 34th overall
Don Kojis;1961 / Round: 2 / Pick: 21st overall;6 ft 3 in (1.91 m);202 lb (92 kg);American;Marquette (1958–1961);Notre Dame (Milwaukee, Wisconsin);1963–1975;Small forward;1961 ; Round: 2 ; Pick: 21st overall
Don Ohl;1958 / Round: 5 / Pick: 36th overall;6 ft 3 in (1.91 m);190 lb (86 kg);American;Illinois (1955–1958);Edwardsville (Edwardsville, Illinois);1959–1970;Guard;1958 ; Round: 5 ; Pick: 36th overall
Don Sunderlage;1951 / Round: 1 / Pick: 9th overall;6 ft 1 in (1.85 m);180 lb (82 kg);American;Illinois (1948–1951);Elgin (Elgin, Illinois);1953–1955;Point guard;1951 ; Round: 1 ; Pick: 9th overall
Doug Collins;1973 / Round: 1 / Pick: 1st overall;6 ft 7 in (2.01 m);215 lb (98 kg);American;Illinois State (1967–1970);Benton (Benton, Illinois);1973–1981;Shooting guard;1973 ; Round: 1 ; Pick: 1st overall
Draymond Green;2012 / Round: 2 / Pick: 35th overall;6 ft 7 in (2.01 m);230 lb (104 kg);American;Michigan State (2008–2012);Saginaw (Saginaw, Michigan);2012–present;Forward;2012 ; Round: 2 ; Pick: 35th overall
Dwight Howard;2004 / Round: 1 / Pick: 1st overall;6 ft 11 in (2.11 m);265 lb (120 kg);American;;Southwest Atlanta Christian Academy (Atlanta, Georgia);2004–present;Center;2004 ; Round: 1 ; Pick: 1st overall
Dwyane Wade;2003 / Round: 1 / Pick: 5th overall;6 ft 4 in (1.93 m);220 lb (100 kg);American;Marquette (2000–2003);Harold L. Richards (Oak Lawn, Illinois);2003–present;Shooting guard;2003 ; Round: 1 ; Pick: 5th overall
Earl Monroe;1967 / Round: 1 / Pick: 2nd overall;6 ft 3 in (1.91 m);185 lb (84 kg);American;Winston-Salem State (1963–1967);John Bartram (Philadelphia, Pennsylvania);1967–1980;Guard;1967 ; Round: 1 ; Pick: 2nd overall
Ed Macauley;1949 / Pick: Territorial;6 ft 8 in (2.03 m);185 lb (84 kg);American;Saint Louis (1945–1949);St. Louis University HS (St. Louis, Missouri);1949–1959;Center / Power forward;1949 ; Pick: Territorial;
Eddie Johnson;1977 / Round: 3 / Pick: 49th overall;6 ft 2 in (1.88 m);180 lb (82 kg);American;Auburn (1973–1977);Lake Weir (Summerfield, Florida);1977–1987;Shooting guard;1977 ; Round: 3 ; Pick: 49th overall
Eddie Jones;1994 / Round: 1 / Pick: 10th overall;6 ft 6 in (1.98 m);200 lb (91 kg);American;Temple (1991–1994);Blanche Ely (Pompano Beach, Florida);1994–2008;Shooting guard / Small forward;1994 ; Round: 1 ; Pick: 10th overall
Eddie Miles;1963 / Round: 1 / Pick: 4th overall;6 ft 4 in (1.93 m);195 lb (88 kg);American;Seattle (1960–1963);Scipio A. Jones (North Little Rock, Arkansas);1963–1972;Forward / Guard;1963 ; Round: 1 ; Pick: 4th overall
Elgin Baylor;1958 / Round: 1 / Pick: 1st overall;6 ft 5 in (1.96 m);225 lb (102 kg);American;College of Idaho (1954–1955) Seattle (1956–1958);Spingarn (Washington, D.C.);1958–1971;Forward;1958 ; Round: 1 ; Pick: 1st overall
Elton Brand;1999 / Round: 1 / Pick: 1st overall;6 ft 9 in (2.06 m);255 lb (116 kg);American;Duke (1997–1999);Peekskill (Peekskill, New York);1999–present;Power forward / Center;1999 ; Round: 1 ; Pick: 1st overall
Elvin Hayes;1968 / Round: 1 / Pick: 1st overall;6 ft 9 in (2.06 m);235 lb (107 kg);American;Houston (1965–1968);Eula D. Britton (Rayville, Louisiana);1968–1984;Center / Power forward;1968 ; Round: 1 ; Pick: 1st overall
Fat Lever;1982 / Round: 1 / Pick: 11th overall;6 ft 3 in (1.91 m);170 lb (77 kg);American;Arizona State (1978–1982);Pueblo (Tucson, Arizona);1982–1994;Point guard;1982 ; Round: 1 ; Pick: 11th overall
Flynn Robinson;1965 / Round: 2 / Pick: 15th overall;6 ft 1 in (1.85 m);185 lb (84 kg);American;Casper College (1960-1961) Wyoming (1962–1965);Elgin (Elgin, Illinois);1965–1978;Point guard;1965 ; Round: 2 ; Pick: 15th overall
Frank Brian;;6 ft 1 in (1.85 m);180 lb (82 kg);American;LSU (1942–1943, 1945–1947);Zachary (Zachary, Louisiana);1947–1956;Guard;;;
Frank Selvy;1954 / Round: 1 / Pick: 1st overall;6 ft 3 in (1.91 m);180 lb (82 kg);American;Furman (1951–1954);Corbin (Corbin, Kentucky);1954–1964;Shooting guard / Small forward;1954 ; Round: 1 ; Pick: 1st overall
Fred Brown;1971 / Round: 1 / Pick: 6th overall;6 ft 3 in (1.91 m);182 lb (83 kg);American;Southeastern CC (1967–1969) Iowa (1969–1971);Lincoln (Milwaukee, Wisconsin);1971–1984;Guard;1971 ; Round: 1 ; Pick: 6th overall
Fred Schaus;1949 / Round: 3;6 ft 5 in (1.96 m);205 lb (93 kg);American;West Virginia (1946–1949);Newark (Newark, Ohio);1949–1954;Small forward;1949 ; Round: 3;
Fred Scolari;;5 ft 10 in (1.78 m);180 lb (82 kg);;San Francisco (194?–1946);Galileo (San Francisco, California);;Point guard;;;
Gail Goodrich;1965 / Pick: Territorial;6 ft 1 in (1.85 m);170 lb (77 kg);American;UCLA (1962–1965);John H. Francis Polytechnic (Los Angeles, California);1965–1979;Guard;1965 ; Pick: Territorial;
Gary Payton;1990 / Round: 1 / Pick: 2nd overall;6 ft 4 in (1.93 m);185 lb (84 kg);American;Oregon State (1986–1990);Skyline (Oakland, California);1990–2007;Point guard;1990 ; Round: 1 ; Pick: 2nd overall
Gene Shue;1954 / Round: 1 / Pick: 3rd overall;6 ft 2 in (1.88 m);170 lb (77 kg);American;Maryland (1951–1954);Towson Catholic (Towson, Maryland);1954–1964;Guard;1954 ; Round: 1 ; Pick: 3rd overall
Geoff Petrie;1970 / Round: 1 / Pick: 8th overall;6 ft 4 in (1.93 m);190 lb (86 kg);American;Princeton (1967–1970);Springfield (Springfield, Pennsylvania);1970–1976;Guard;1970 ; Round: 1 ; Pick: 8th overall
George Gervin;1974 / Round: 3 / Pick: 40th overall;6 ft 7 in (2.01 m);185 lb (84 kg);American;Eastern Michigan (1970–1972);Martin Luther King (Detroit, Michigan);1972–1990;Shooting guard / Small forward;1974 ; Round: 3 ; Pick: 40th overall
George McGinnis;1973 / Round: 2 / Pick: 22nd overall;6 ft 8 in (2.03 m);235 lb (107 kg);American;Indiana (1970–1971);George Washington (Indianapolis, Indiana);1971–1982;Power forward / Center;1973 ; Round: 2 ; Pick: 22nd overall
George Mikan;;6 ft 10 in (2.08 m);245 lb (111 kg);American;DePaul (1942–1946);Joliet Catholic (Joliet, Illinois);1946–1956;Center;;;
George Yardley;1950 / Round: 1 / Pick: 7th overall;6 ft 5 in (1.96 m);190 lb (86 kg);American;Stanford (1947–1950);Newport Harbor (Newport Beach, California);1953–1962;Forward / Guard;1950 ; Round: 1 ; Pick: 7th overall
Gerald Wallace;2001 / Round: 1 / Pick: 25th overall;6 ft 7 in (2.01 m);220 lb (100 kg);American;Alabama (2000–2001);Childersburg (Childersburg, Alabama);2001–present;Small forward;2001 ; Round: 1 ; Pick: 25th overall
Gilbert Arenas;2001 / Round: 2 / Pick: 31st overall;6 ft 3 in (1.91 m);191 lb (87 kg);American;Arizona (1999–2001);Grant (Los Angeles, California);2001–2013;Point guard;2001 ; Round: 2 ; Pick: 31st overall
Glen Rice;1989 / Round: 1 / Pick: 4th overall;6 ft 8 in (2.03 m);228 lb (103 kg);American;Michigan (1985–1989);Flint Northwestern (Flint, Michigan);1989–2004;Small forward;1989 ; Round: 1 ; Pick: 4th overall
Glenn Robinson;1994 / Round: 1 / Pick: 1st overall;6 ft 7 in (2.01 m);240 lb (109 kg);American;Purdue (1992–1994);Roosevelt (Gary, Indiana);1994–2005;Small forward;1994 ; Round: 1 ; Pick: 1st overall
Grant Hill;1994 / Round: 1 / Pick: 3rd overall;6 ft 8 in (2.03 m);225 lb (102 kg);American;Duke (1990–1994);South Lakes (Reston, Virginia);1994–2013;Small forward;1994 ; Round: 1 ; Pick: 3rd overall
Gus Johnson;1963 / Round: 2 / Pick: 10th overall;6 ft 6 in (1.98 m);230 lb (104 kg);American;Boise State (1961–1962) Idaho (1962–1963);Central (Akron, Ohio);1963–1973;Forward / Center;1963 ; Round: 2 ; Pick: 10th overall
Gus Williams;1975 / Round: 2 / Pick: 20th overall;6 ft 2 in (1.88 m);175 lb (79 kg);American;USC (1972–1975);Mount Vernon (Mount Vernon, New York);1975–1987;Point guard;1975 ; Round: 2 ; Pick: 20th overall
Guy Rodgers;1958 / Pick: Territorial;6 ft 0 in (1.83 m);185 lb (84 kg);American;Temple (1955–1958);Northeast (Philadelphia, Pennsylvania);1958–1970;Point guard;1958 ; Pick: Territorial;
Hakeem Olajuwon;1984 / Round: 1 / Pick: 1st overall;6 ft 11 in (2.11 m);255 lb (116 kg);Nigerian / American;Houston (1981–1984);;1984–2002;Center;1984 ; Round: 1 ; Pick: 1st overall
Hal Greer;1958 / Round: 2 / Pick: 13th overall;6 ft 2 in (1.88 m);175 lb (79 kg);American;Marshall (1955–1958);Douglass (Huntington, West Virginia);1958–1973;Guard / Forward;1958 ; Round: 2 ; Pick: 13th overall
Harry Gallatin;1948 / Round: – / Pick: –;6 ft 6 in (1.98 m);210 lb (95 kg);American;Truman (1946–1948);Roxana (Roxana, Illinois);1948–1958;Forward / Center;1948 ; Round: – ; Pick: –
Hersey Hawkins;1988 / Round: 1 / Pick: 6th overall;6 ft 3 in (1.91 m);190 lb (86 kg);American;Bradley (1984–1988);Westinghouse (Chicago, Illinois);1988–2001;Shooting guard;1988 ; Round: 1 ; Pick: 6th overall
Horace Grant;1987 / Round: 1 / Pick: 10th overall;6 ft 10 in (2.08 m);245 lb (111 kg);American;Clemson (1983–1987);Hancock Central (Sparta, Georgia);1987–2004;Power forward / Center;1987 ; Round: 1 ; Pick: 10th overall
Isaiah Thomas;2011 / Round: 2 / Pick: 60th overall;5 ft 9 in (1.75 m);185 lb (84 kg);American;Washington (2008–2011);Curtis (University Place, Washington) South Kent School (South Kent, Connecticut);2011–present;Point guard;2011 ; Round: 2 ; Pick: 60th overall
Isiah Thomas;1981 / Round: 1 / Pick: 2nd overall;6 ft 1 in (1.85 m);180 lb (82 kg);American;Indiana (1979–1981);St. Joseph (Westchester, Illinois);1981–1994;Point guard;1981 ; Round: 1 ; Pick: 2nd overall
Jack Coleman;1949 / Round: 2;6 ft 7 in (2.01 m);195 lb (88 kg);American;Louisville (1946–1949);;1949–1958;Power forward / Center;1949 ; Round: 2;
Jack George;1953 / Round: 13 / Pick: 102nd overall;6 ft 2 in (1.88 m);190 lb (86 kg);American;La Salle (1949–1951);St. John's College (Washington, D.C.);1953–1961;Guard;1953 ; Round: 13 ; Pick: 102nd overall
Jack Marin;1966 / Round: 1 / Pick: 5th overall;6 ft 7 in (2.01 m);200 lb (91 kg);American;Duke (1963–1966);Farrell (Farrell, Pennsylvania);1966–1977;Small forward / Guard;1966 ; Round: 1 ; Pick: 5th overall
Jack Sikma;1977 / Round: 1 / Pick: 8th overall;6 ft 11 in (2.11 m);230 lb (104 kg);American;Illinois Wesleyan (1973–1977);Saint Anne (Saint Anne, Illinois);1977–1991;Center / Power forward;1977 ; Round: 1 ; Pick: 8th overall
Jack Twyman;1955 / Round: 2 / Pick: 8th overall;6 ft 6 in (1.98 m);210 lb (95 kg);American;Cincinnati (1951–1955);Central Catholic (Pittsburgh, Pennsylvania);1955–1966;Forward;1955 ; Round: 2 ; Pick: 8th overall
Jamaal Magloire;2000 / Round: 1 / Pick: 19th overall;6 ft 11 in (2.11 m);265 lb (120 kg);Canadian;Kentucky (1996–2000);Eastern Commerce (Toronto, Ontario);2000–2012;Center;2000 ; Round: 1 ; Pick: 19th overall
Jamaal Wilkes;1974 / Round: 1 / Pick: 11th overall;6 ft 6 in (1.98 m);190 lb (86 kg);American;UCLA (1971–1974);Ventura (Ventura, California) Santa Barbara (Santa Barbara, California);1974–1985;Small forward;1974 ; Round: 1 ; Pick: 11th overall
Jamal Mashburn;1993 / Round: 1 / Pick: 4th overall;6 ft 8 in (2.03 m);240 lb (109 kg);American;Kentucky (1990–1993);Cardinal Hayes (The Bronx, New York);1993–2004;Small forward;1993 ; Round: 1 ; Pick: 4th overall
Jameer Nelson;2004 / Round: 1 / Pick: 20th overall;6 ft 0 in (1.83 m);190 lb (86 kg);American;Saint Joseph's (2000–2004);Chester (Chester, Pennsylvania);2004–present;Point guard;2004 ; Round: 1 ; Pick: 20th overall
James Donaldson;1979 / Round: 4 / Pick: 73rd overall;7 ft 2 in (2.18 m);275 lb (125 kg);English / American;Washington State (1975–1979);Luther Burbank (Sacramento, California);1979–1999;Center;1979 ; Round: 4 ; Pick: 73rd overall
James Harden;2009 / Round: 1 / Pick: 3rd overall;6 ft 5 in (1.96 m);220 lb (100 kg);American;Arizona State (2007–2009);Artesia (Lakewood, California);2009–present;Shooting guard;2009 ; Round: 1 ; Pick: 3rd overall
James Worthy;1982 / Round: 1 / Pick: 1st overall;6 ft 9 in (2.06 m);225 lb (102 kg);American;North Carolina (1979–1982);Ashbrook (Gastonia, North Carolina);1982–1994;Small forward;1982 ; Round: 1 ; Pick: 1st overall
Jason Kidd;1994 / Round: 1 / Pick: 2nd overall;6 ft 4 in (1.93 m);210 lb (95 kg);American;California (1992–1994);St. Joseph Notre Dame (Alameda, California);1994–2013;Point guard / Shooting guard;1994 ; Round: 1 ; Pick: 2nd overall
Jayson Williams;1990 / Round: 1 / Pick: 21st overall;6 ft 10 in (2.08 m);245 lb (111 kg);American;St. John's (1987–1990);Christ the King (Queens, New York);1990–2005;Power forward / Center;1990 ; Round: 1 ; Pick: 21st overall
Jeff Hornacek;1986 / Round: 2 / Pick: 46th overall;6 ft 4 in (1.93 m);190 lb (86 kg);American;Iowa State (1982–1986);Lyons Township (La Grange, Illinois);1986–2000;Shooting guard;1986 ; Round: 2 ; Pick: 46th overall
Jeff Malone;1983 / Round: 1 / Pick: 10th overall;6 ft 4 in (1.93 m);205 lb (93 kg);American;Mississippi State (1979–1983);Southwest (Macon, Georgia);;Shooting guard;1983 ; Round: 1 ; Pick: 10th overall
Jeff Mullins;1964 / Round: 1 / Pick: 5th overall;6 ft 4 in (1.93 m);190 lb (86 kg);American;Duke (1961–1964);Lafayette (Lexington, Kentucky);1964–1976;Guard / Forward;1964 ; Round: 1 ; Pick: 5th overall
Jeff Ruland;1980 / Round: 2 / Pick: 25th overall;6 ft 11 in (2.11 m);240 lb (109 kg);American;Iona (1977–1980);Sachem (Lake Ronkonkoma, New York);1980–1993;Center;1980 ; Round: 2 ; Pick: 25th overall
Jeff Teague;2009 / Round: 1 / Pick: 19th overall;6 ft 2 in (1.88 m);186 lb (84 kg);American;Wake Forest (2007–2009);Pike (Indianapolis, Indiana);2009–present;Point guard;2009 ; Round: 1 ; Pick: 19th overall
Jermaine O'Neal;1996 / Round: 1 / Pick: 17th overall;6 ft 11 in (2.11 m);255 lb (116 kg);American;;Eau Claire (Columbia, South Carolina);1996–2014;Center / Power forward;1996 ; Round: 1 ; Pick: 17th overall
Jerry Lucas;1962 / Pick: Territorial;6 ft 8 in (2.03 m);230 lb (104 kg);American;Ohio State (1959–1962);Middletown (Middletown, Ohio);1962–1974;Power forward / Center;1962 ; Pick: Territorial;
Jerry Sloan;1965 / Round: 1 / Pick: 4th overall;6 ft 5 in (1.96 m);195 lb (88 kg);American;Evansville (1962–1965);McLeansboro (McLeansboro, Illinois);1965–1976;Guard / Forward;1965 ; Round: 1 ; Pick: 4th overall
Jerry Stackhouse;1995 / Round: 1 / Pick: 3rd overall;6 ft 6 in (1.98 m);218 lb (99 kg);American;North Carolina (1993–1995);Kinston (Kinston, North Carolina) Oak Hill Academy (Mouth of Wilson, Virginia);1995–2013;Shooting guard / Small forward;1995 ; Round: 1 ; Pick: 3rd overall
Jerry West;1960 / Round: 1 / Pick: 2nd overall;6 ft 4 in (1.93 m);185 lb (84 kg);American;West Virginia (1957–1960);East Bank (East Bank, West Virginia);1960–1974;Guard;1960 ; Round: 1 ; Pick: 2nd overall
Jim King;1963 / Round: 2 / Pick: 13th overall;6 ft 2 in (1.88 m);175 lb (79 kg);;Tulsa (1960–1963);Fort Smith (Fort Smith, Arkansas);1963–1973;Point guard;1963 ; Round: 2 ; Pick: 13th overall
Jim Paxson;1979 / Round: 1 / Pick: 12th overall;6 ft 6 in (1.98 m);200 lb (91 kg);American;Dayton (1975–1979);Archbishop Alter (Kettering, Ohio);1979–1990;Shooting guard / Small forward;1979 ; Round: 1 ; Pick: 12th overall
